Error,ErrorRate,ControlSignal
0.20065,-1.001,-0.43063
0.21549,-0.92202,-0.50787
0.22625,-0.84006,-0.56952
0.23784,-0.75542,-0.63516
0.24541,4.2145,-1.6618
0.24899,-0.57917,-0.71986
0.24858,-0.48812,-0.73891
0.2442,-0.39551,-0.7424
0.23588,-0.30164,-0.73028
0.22362,-5.0896,0.27406
0.20743,-4.9941,0.31757
0.19219,-4.8983,0.35733
0.17304,-4.8024,0.41295
0.15972,0.17609,-0.53113
0.14247,-4.6116,0.49391
0.13105,0.36539,-0.45719
0.11569,0.45844,-0.41554
0.10125,-4.3328,0.5994
0.092594,0.63984,-0.36148
0.079946,-4.1552,0.64726
0.068163,-4.0697,0.67657
0.062103,-3.9869,0.68358
0.056856,-3.9069,0.68797
0.047509,-3.83,0.70945
0.043796,1.1263,-0.26741
0.040798,-3.6866,0.70673
0.038478,1.2623,-0.27415
0.031914,1.3243,-0.26064
0.025947,-3.5007,0.72795
0.025417,1.4355,-0.25744
0.01563,-3.3985,0.74831
0.016071,-3.3545,0.73757
0.016926,1.5675,-0.25039
0.0083789,1.6017,-0.22315
0.00014567,-3.2521,0.78052
0.011705,1.6545,-0.24712
0.013709,1.6731,-0.25897
-0.003663,1.6863,-0.19215
-0.0062842,1.6941,-0.18314
0.00090838,-3.1864,0.76417
-0.0065535,-3.1894,0.79464
-0.014076,1.6849,-0.15003
-0.011946,1.6711,-0.15563
-0.0099847,-3.2309,0.817
-0.027775,-3.2554,0.89326
-0.031191,1.5978,-0.06339
-0.025166,1.563,-0.080251
-0.034165,-3.3596,0.94053
-0.048471,1.4786,0.030555
-0.048601,-3.4536,1.018
-0.039485,1.3753,0.016227
-0.050463,-3.5659,1.0488
-0.066931,1.2544,0.15122
-0.079164,-3.695,1.1908
-0.077436,1.1175,0.22215
-0.091078,-3.8393,1.2689
-0.11036,0.96629,0.38597
-0.13044,-3.9969,1.4601
-0.1318,0.80276,0.50696
-0.14377,-4.1658,1.5499
-0.16638,0.62897,0.68297
-0.18988,-4.3439,1.7734
-0.19476,0.44714,0.8366
-0.21033,-4.5289,1.8961
-0.22684,-4.6232,1.9832
-0.24918,-4.7184,2.094
-0.2676,0.068733,1.2128
-0.28697,-4.91,2.2888
-0.29265,-0.12301,1.357
-0.29929,-0.21844,1.4057
-0.28735,4.5696,0.40323
-0.27634,-0.4069,1.3574
-0.25163,4.3835,0.30305
-0.23759,-0.59017,1.2441
-0.21469,4.2037,0.19592
-0.20242,-0.7659,1.1429
-0.18125,4.0326,0.10038
-0.16579,-0.93184,1.0331
-0.15113,-1.0105,0.99179
-0.13724,3.7969,-0.023831
-0.12408,-1.1578,0.91579
-0.11163,-1.226,0.88075
-0.094946,-1.2903,0.8279
-0.08377,-1.3505,0.79609
-0.073172,-1.4064,0.76564
-0.058225,3.425,-0.25979
-0.038884,3.3783,-0.32733
-0.034632,-1.5464,0.64096
-0.021006,-1.5833,0.59411
-0.0077222,3.2676,-0.42907
0.010154,3.2409,-0.49523
0.013143,-1.6634,0.47354
